TagID,signal_type,st_UTC,sec_since_tagon,duration,notes,BB_RMS,SPL_rms_fc_1000,SPL_rms_fc_1250,SPL_rms_fc_1600,SPL_rms_fc_2000,SPL_rms_fc_2500,SPL_rms_fc_3150,SPL_rms_fc_4000,SPL_rms_fc_5000,SPL_rms_fc_6300,SPL_rms_fc_8000,SEL_dB
Zica-20191012-144029,MFA,10/13/2019 20:05:20,98481.13,8.5399999999936,NA,107.84204925701872,97.9919493652788,95.9828342991223,93.6354919822091,90.363734548006,86.9747817719871,106.154310975962,95.4105717896081,91.2213512288445,87.1744045861538,80.4399084598202,107.50868045304175
Zica-20191012-144029,MFA,10/13/2019 20:05:28,98489.67,20,NA,114.89797674579378,95.5478108183535,92.4071670371562,90.1126194942935,87.5979669308235,93.6355367765586,114.53808245237,101.695594368657,85.8554692027284,81.2635118596888,74.9021624309193,112.54466735228858
Zica-20191012-144029,MFA,10/13/2019 20:05:54,98515.27,20,NA,109.17054263005161,NA,NA,NA,NA,88.0011354634755,108.951507621642,95.173395306193,80.26487153635,75.4145641707489,NA,105.87627524118696
Zica-20191012-144029,MFA,10/13/2019 20:06:20,98541,20,NA,108.32080413319382,NA,NA,NA,NA,86.2512067290597,107.664050419325,99.5526385811708,76.4639348673329,76.691939639877,NA,107.42620765732673
Zica-20191012-144029,MFA,10/13/2019 20:06:45,98566.8,19.7299999999959,NA,107.81743262504841,NA,NA,NA,NA,80.5457110551521,107.12550974175,99.3635631889912,76.0921035559278,80.7598370994634,NA,104.69756499029313
Zica-20191012-144029,MFA,10/13/2019 20:07:05,98586.53,7.72000000000116,NA,108.02978468650917,NA,NA,NA,NA,84.5223686415448,107.58010210039,97.5686567445149,74.9384558093621,83.4537991233566,NA,106.00569832143998
Zica-20191012-144029,MFA,10/13/2019 20:07:13,98594.25,20,NA,108.5922397617181,NA,NA,NA,NA,85.3450240245973,107.900340778106,100.088898719458,76.9223144309954,77.1193038928906,NA,107.254182848757
Zica-20191012-144029,MFA,10/13/2019 20:07:38,98619.85,4.75999999999476,NA,109.38555516559293,NA,NA,NA,NA,82.0348944229051,108.69447290966001,100.926892790068,77.4961890557519,81.8120881377176,73.724801074011,106.74120704075364
Zica-20191012-144029,MFA,10/13/2019 20:07:43,98624.61,20,NA,109.50573573933659,NA,NA,NA,NA,87.1118211773846,108.813259769975,100.982056610873,77.5443014715039,76.5073011509214,NA,108.36569590366416
Zica-20191012-144029,MFA,10/13/2019 20:08:09,98650.38,20,NA,109.89495432026263,NA,NA,NA,NA,82.6638407335162,109.218081031854,101.395194706969,77.8679367828661,77.1945555849592,NA,106.59859361417932
Zica-20191012-144029,MFA,10/13/2019 20:08:35,98676.06,19.7299999999959,NA,106.71370107412328,NA,NA,NA,NA,85.0416429960301,106.437552622247,93.9525310616168,NA,79.3844807208578,NA,104.85991155475119
Zica-20191012-144029,MFA,10/13/2019 20:08:54,98695.79,20,NA,106.23582733433014,NA,NA,NA,NA,81.184143642441,105.895627423301,94.7550947747146,74.4396028769259,72.7573094318542,NA,101.06322905018206
Zica-20191012-144029,MFA,10/13/2019 20:09:19,98720.46,20,NA,101.91598352395017,NA,NA,NA,NA,76.745131386465,101.297356918446,93.0461743889517,NA,NA,NA,98.4565612890307
Zica-20191012-144029,MFA,10/13/2019 20:09:43,98744.86,20,NA,102.0390410909424,NA,NA,NA,NA,77.7521520417997,101.719000681853,90.2234505953214,NA,73.7506865427748,NA,98.60997225347975
Zica-20191012-144029,MFA,10/13/2019 20:10:08,98769.45,20,NA,103.44352582961521,NA,NA,NA,NA,77.1028671329297,102.772662800602,94.8944403515995,74.0271036381124,NA,NA,98.95802533114471
Zica-20191012-144029,MFA,10/13/2019 20:10:32,98793.9,20,NA,102.76540904097475,NA,NA,NA,NA,77.9609366807825,102.268093592241,92.9727527946602,NA,NA,NA,99.338261594837
Zica-20191012-144029,MFA,10/13/2019 20:10:57,98818.4,20,NA,98.59452253298271,NA,NA,NA,NA,74.1834165875145,98.0828656206544,88.9092759849737,NA,NA,NA,95.86751395244738
Zica-20191012-144029,MFA,10/13/2019 20:11:21,98842.9,20,NA,100.23458068548652,NA,NA,NA,NA,76.7845470376433,99.9234072210753,88.338596435237,NA,NA,NA,97.8454890624048
Zica-20191012-144029,MFA,10/13/2019 20:11:46,98867.36,20,NA,100.2230417068388,NA,NA,NA,NA,77.3480630538052,99.8906442378197,88.4625935076541,NA,72.8939082765722,NA,96.48850799372667
Zica-20191012-144029,MFA,10/13/2019 20:12:10,98891.89,20,NA,103.38431638411791,NA,NA,NA,NA,78.4146793349514,103.019348240311,92.2727536800481,NA,NA,NA,99.1340166684236
Zica-20191012-144029,MFA,10/13/2019 20:12:35,98916.33,20,NA,102.02693223939222,NA,NA,NA,NA,76.3932006283372,101.448191945695,92.8445943615523,NA,73.2098768904116,NA,98.54822521887655
Zica-20191012-144029,MFA,10/13/2019 20:12:59,98940.85,20,NA,101.53318344169783,NA,NA,NA,NA,76.4798544315727,101.083557478065,91.320808509377,NA,NA,NA,97.9866770016107
Zica-20191012-144029,MFA,10/13/2019 20:13:24,98965.32,20,NA,98.98933438459308,NA,NA,NA,NA,74.9659871192077,98.2870809039859,90.4359333491296,NA,76.635753261652,NA,97.07373670751633
Zica-20191012-144029,MFA,10/13/2019 20:13:48,98989.81,20,NA,102.28779785667166,NA,NA,NA,NA,78.7090997799862,102.018698022554,89.7459810087018,NA,NA,NA,98.85138935131926
