Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20211113-195993,2021-11-14T05:57:22Z,Typical,No,None,0,No,No,No,2.4,0.8,4,0.4,0.2,30,0.8,1
Zica-20211113-195993,2021-11-14T08:22:24Z,Variant,No,None,0,No,No,No,0.8,0.7,0,NA,0.1,26.4,1.1,2.5
Zica-20211113-195993,2021-11-14T09:07:35Z,Variant,No,None,0,No,No,No,1.2,0.5,2,0.3,0.1,14.1,0.7,0.1
Zica-20211113-195993,2021-11-14T10:18:20Z,Variant,No,None,0,No,No,No,0.6,0.5,0,NA,0.1,16.9,1.1,0.6
Zica-20211113-195993,2021-11-14T10:55:09Z,Variant,No,None,0,No,No,No,1.8,0.6,3,0.4,0.2,15,1.2,1
Zica-20211113-195993,2021-11-14T12:40:46Z,Variant,No,None,0,No,No,No,0.7,0.6,0,NA,0.1,18.3,1.1,2.3
Zica-20211113-195993,2021-11-14T13:20:24Z,Variant,No,None,0,No,No,No,3.6,0.8,6,0.5,0.2,18.6,1.1,0.9
Zica-20211113-195993,2021-11-14T16:54:31Z,Variant,No,None,0,No,No,No,1.4,1,1,0.3,0.1,28.6,1.1,1.4
Zica-20211113-195993,2021-11-14T18:18:35Z,Variant,No,None,0,No,No,No,1.8,1,2,0.4,0.1,19.8,1.1,1.4
Zica-20211113-195993,2021-11-14T20:09:00Z,Variant,No,None,0,No,No,No,1.3,0.8,1,0.4,0.1,19,1.1,1.4
Zica-20211113-195993,2021-11-14T21:27:53Z,Variant,No,None,0,No,No,No,3.1,0.9,5,0.4,0.2,24.7,1.2,1.9
Zica-20211113-195993,2021-11-15T00:32:31Z,Variant,No,None,0,No,No,No,1.1,0.8,1,0.2,0.1,27.6,1.1,2.2
Zica-20211113-195993,2021-11-15T01:39:34Z,Variant,No,None,0,No,No,No,2.5,0.6,5,0.5,0.3,20.8,1.1,1.1
Zica-20211113-195993,2021-11-15T04:08:14Z,Variant,No,None,0,No,No,No,1.8,0.8,2,0.4,0.2,23.9,0.8,4.1
Zica-20211113-195993,2021-11-15T05:53:51Z,Variant,No,None,0,No,No,No,1.3,0.8,1,0.4,0.1,27.4,0.7,1
Zica-20211113-195993,2021-11-15T07:11:27Z,Variant,No,None,0,No,No,No,2.5,0.8,4,0.5,0.2,26,0.8,2.3
Zica-20211113-195993,2021-11-15T09:44:17Z,Variant,No,None,0,No,No,No,3.4,0.8,6,0.4,0.3,29,1.1,2
Zica-20211113-195993,2021-11-15T13:09:07Z,Variant,No,None,0,No,No,No,4,1.1,7,0.6,0.3,26.5,1,0.6
Zica-20211113-195993,2021-11-15T17:08:14Z,Variant,No,None,0,No,No,No,3.1,1.1,4,0.6,0.3,22.9,0.9,2.1
Zica-20211113-195993,2021-11-15T20:15:47Z,Variant,No,None,0,No,No,No,2.6,0.4,7,0.4,0.3,5.5,0.9,5.3
Zica-20211113-195993,2021-11-15T22:50:35Z,Variant,No,None,0,No,No,No,0.9,0.6,1,0.2,0.1,11.7,0.6,4.6
Zica-20211113-195993,2021-11-15T23:41:58Z,Variant,No,None,0,No,No,No,1.2,0.8,1,0.3,0.1,19.7,0.8,4.2
Zica-20211113-195993,2021-11-16T00:53:00Z,Variant,No,None,0,No,No,No,0.8,0.6,1,0.1,0.1,14.5,1,3.5
Zica-20211113-195993,2021-11-16T01:38:19Z,Variant,No,None,0,No,No,No,0.5,0.5,0,NA,0,8.4,1,3.7
Zica-20211113-195993,2021-11-16T02:09:30Z,Variant,No,None,0,No,No,No,0.9,0.7,1,0.2,0.1,20.9,1,3.5
Zica-20211113-195993,2021-11-16T03:04:06Z,Variant,No,None,0,No,No,No,1.7,0.6,4,0.3,0.2,17.6,0.7,2.6
Zica-20211113-195993,2021-11-16T04:49:01Z,Variant,No,None,0,No,No,No,1.9,1,3,0.3,0.2,28.2,1.5,1.5
Zica-20211113-195993,2021-11-16T06:40:13Z,Variant,No,None,0,No,No,No,2.8,1.2,4,0.4,0.2,39.2,0.8,1.8
Zica-20211113-195993,2021-11-16T09:25:56Z,Variant,No,None,0,No,No,No,2.7,1.1,5,0.4,0.2,34.1,1.8,2.4
Zica-20211113-195993,2021-11-16T12:09:42Z,Variant,No,None,0,No,No,No,4.6,1.2,10,0.6,0.2,31.8,1.8,1.9
Zica-20211113-195993,2021-11-16T16:43:22Z,Variant,No,None,0,No,No,No,3.6,1,8,0.4,0.2,25.3,1.7,2.2
Zica-20211113-195993,2021-11-16T20:17:20Z,Variant,No,107.9,115.6,No,No,No,3.4,0.8,6,0.5,0.2,17.2,0.9,2
Zica-20211113-195993,2021-11-16T23:44:01Z,Variant,No,None,0,No,No,No,2.3,0.9,5,0.3,0.1,20,1,1.3
Zica-20211113-195993,2021-11-17T02:00:50Z,Variant,No,None,0,No,No,No,1,0.6,1,0.3,0.1,15.2,1,0.8
Zica-20211113-195993,2021-11-17T03:00:50Z,Variant,No,None,0,No,No,No,1.2,0.7,2,0.2,0.1,21.6,0.7,2.1
Zica-20211113-195993,2021-11-17T04:13:44Z,Variant,No,None,0,No,No,No,1.5,0.7,3,0.3,0.1,19.9,0.7,2.8
Zica-20211113-195993,2021-11-17T05:44:48Z,Variant,No,None,0,No,No,No,1.1,0.6,2,0.3,0.1,14.4,0.7,3.3
Zica-20211113-195993,2021-11-17T06:51:47Z,Variant,Yes,118.2,125.7,No,No,No,1.9,0.6,4,0.3,0.1,21,0.8,3.1
Zica-20211113-195993,2021-11-17T08:47:44Z,Typical,No,None,0,No,No,No,3.1,1.2,5,0.4,0.2,27.2,0.7,1.4
Zica-20211113-195993,2021-11-17T11:51:09Z,Variant,No,None,0,No,No,No,1.4,1.1,1,0.2,0.1,26.6,1.1,2.2
Zica-20211113-195993,2021-11-17T13:14:01Z,Variant,No,None,0,No,No,No,3.3,0.8,5,0.5,0.2,22.1,1,1
Zica-20211113-195993,2021-11-17T16:29:47Z,Variant,No,None,0,No,No,No,1.8,0.9,2,0.5,0.1,25.3,1,1.7
Zica-20211113-195993,2021-11-17T18:20:32Z,Variant,No,None,0,No,No,No,1.8,1,2,0.4,0.1,23.8,1.1,3
Zica-20211113-195993,2021-11-17T20:11:11Z,Variant,No,None,0,No,No,No,NA,1,NA,NA,NA,19.2,1,NA
Zica-20220112-195994,2022-01-12T18:45:25Z,Typical,No,77.6,71.3,No,No,No,1.9,1,2,0.4,0.1,36.6,1.4,1.6
Zica-20220112-195994,2022-01-12T20:38:10Z,Typical,No,76.3,69.9,No,No,No,3,1,5,0.4,0.2,42.1,1.3,0.7
Zica-20220112-195994,2022-01-12T23:37:05Z,Typical,No,None,0,No,No,No,3,1,4,0.6,0.2,40.9,1.5,1
Zica-20220112-195994,2022-01-13T02:39:34Z,Typical,No,None,0,No,No,No,2,1,2,0.5,0.1,40.3,1.4,0.2
Zica-20220112-195994,2022-01-13T04:39:56Z,Typical,No,None,0,No,No,No,1.5,1,1,0.4,0.1,38.7,1.5,2.6
Zica-20220112-195994,2022-01-13T06:09:22Z,Typical,No,None,0,No,No,No,1.9,0.9,2,0.5,0.2,37,1.5,0.5
Zica-20220112-195994,2022-01-13T08:06:20Z,Typical,No,None,0,No,No,No,2.2,0.9,3,0.4,0.2,37.1,1.6,0.4
Zica-20220112-195994,2022-01-13T10:17:09Z,Typical,No,None,0,No,No,No,2,0.9,2,0.4,0.2,38,1.4,0.8
Zica-20220112-195994,2022-01-13T12:16:52Z,Typical,No,None,0,No,No,No,2.2,1,2,0.4,0.2,32.1,1.5,0.8
Zica-20220112-195994,2022-01-13T14:31:30Z,Typical,No,None,0,No,No,No,3.4,1.3,5,0.5,0.2,40.8,1.6,1.1
Zica-20220112-195994,2022-01-13T17:56:47Z,Typical,No,102.8,107.8,No,No,No,3.6,1.3,5,0.5,0.2,44.8,1.6,0.3
Zica-20220112-195994,2022-01-13T21:32:29Z,Typical,Yes,119.1,125.2,No,No,No,3.7,1,5,0.6,0.2,40.5,1.6,1.3
Zica-20220112-195994,2022-01-14T01:16:49Z,Typical,No,None,0,No,No,No,3.5,1.3,4,0.5,0.2,42,1.7,0.8
Zica-20220112-195994,2022-01-14T04:44:14Z,Typical,No,None,0,No,No,No,3.5,1.4,4,0.6,0.2,45.4,1.6,0.9
Zica-20220112-195994,2022-01-14T08:16:59Z,Typical,No,None,0,No,No,No,2.4,1.2,3,0.4,0.1,37.4,1.6,1.1
Zica-20220112-195994,2022-01-14T10:40:06Z,Typical,No,None,0,No,No,No,1.8,1.2,2,0.3,0.1,38.3,1.4,1.7
Zica-20220112-195994,2022-01-14T12:30:49Z,Typical,No,None,0,No,No,No,1.4,1,1,0.4,0.1,37.8,1.1,1.2
Zica-20220112-195994,2022-01-14T13:57:27Z,Typical,No,None,0,No,No,No,4.1,1,6,0.5,0.2,28.7,1.5,1.1
Zica-20220112-195994,2022-01-14T18:02:47Z,Typical,No,None,0,No,No,No,4.2,1.3,6,0.7,0.2,43,1.6,1.1
Zica-20220112-195994,2022-01-14T22:16:27Z,Typical,No,None,0,No,No,No,3.5,1.3,4,0.6,0.2,37.7,1.1,0.5
Zica-20220112-195994,2022-01-15T01:47:33Z,Typical,No,None,0,No,No,No,2.2,1.4,2,0.4,0.1,36.1,1.7,1.2
Zica-20220112-195994,2022-01-15T04:02:12Z,Typical,No,None,0,No,No,No,2,1.2,2,0.3,0.1,36.9,1.7,1.5
Zica-20220112-195994,2022-01-15T06:03:56Z,Variant,No,139,143.9,No,No,No,16.9,1.2,24,1,1.6,40,1.7,0.7
Zica-20220112-195994,2022-01-15T23:00:12Z,Typical,No,None,0,No,No,No,3.1,1.3,3,0.6,0.1,31.6,1.6,2.6
Zica-20220112-195994,2022-01-16T02:05:32Z,Typical,No,None,0,No,No,No,2.3,1.3,2,0.5,0.1,31,1.6,2.6
Zica-20220112-195994,2022-01-16T04:26:04Z,Typical,No,None,0,No,No,No,1.7,1.2,1,0.4,0.1,26.5,1.7,2.1
Zica-20220112-195994,2022-01-16T06:07:13Z,Typical,No,None,0,No,No,No,2.7,1.3,3,0.5,0.2,41.7,1.7,2.1
Zica-20220112-195994,2022-01-16T08:50:31Z,Typical,No,None,0,No,No,No,2.3,1.2,2,0.5,0.2,42.4,1.7,2.6
Zica-20220112-195994,2022-01-16T11:09:17Z,Typical,No,None,0,No,No,No,2.4,1.3,2,0.4,0.2,39.8,1.8,1.5
Zica-20220112-195994,2022-01-16T13:35:07Z,Typical,No,None,0,No,No,No,3.9,1.1,5,0.6,0.2,35,1.8,1
Zica-20220112-195994,2022-01-16T17:26:19Z,Typical,No,None,0,No,No,No,2.7,1.3,3,0.5,0.2,44.7,1.8,0.7
Zica-20220112-195994,2022-01-16T20:10:43Z,Typical,No,None,0,No,No,No,3.3,1.2,4,0.5,0.2,41.1,1.8,0.3
Zica-20220112-195994,2022-01-16T23:27:19Z,Typical,No,None,0,No,No,No,3.9,1.4,6,0.5,0.3,51.4,1.8,0.7
Zica-20220112-195994,2022-01-17T03:18:28Z,Typical,No,None,0,No,No,No,3.3,1.3,5,0.5,0.2,45.6,1.8,0.9
Zica-20220112-195994,2022-01-17T06:35:23Z,Typical,No,None,0,No,No,No,2.5,1.2,3,0.5,0.1,42.7,1.8,0.9
Zica-20220112-195994,2022-01-17T09:06:09Z,Typical,No,None,0,No,No,No,3.9,1.2,6,0.5,0.4,37,1.8,0.4
Zica-20220112-195994,2022-01-17T13:02:07Z,Variant,No,None,0,No,No,Yes,8.1,1.3,10,1.6,0.3,40.4,1.8,0.8
Zica-20220112-195994,2022-01-17T21:09:42Z,Typical,No,None,0,No,No,No,3.4,1.3,4,0.6,0.2,40.3,1.8,1.4
Zica-20220112-195994,2022-01-18T00:34:35Z,Typical,No,None,0,No,No,No,2,1.2,2,0.3,0.1,45.7,1.8,1.8
Zica-20220112-195994,2022-01-18T02:33:16Z,Typical,No,None,0,No,No,No,2.2,1,3,0.4,0.1,32,1.8,0.3
Zica-20220112-195994,2022-01-18T04:46:27Z,Typical,No,None,0,No,No,No,2,1,2,0.4,0.1,36.9,1.8,1.2
Zica-20220112-195994,2022-01-18T06:45:52Z,Typical,No,None,0,No,No,No,1.9,1.1,2,0.4,0.1,35.4,1.8,1
Zica-20220112-195994,2022-01-18T08:41:00Z,Typical,No,None,0,No,No,No,5.1,1.2,7,0.8,0.3,33,1.8,1.7
Zica-20220112-195994,2022-01-18T13:48:52Z,Typical,No,None,0,No,No,No,2.7,1.3,3,0.5,0.1,39.2,1.8,0.6
Zica-20220112-195994,2022-01-18T16:33:08Z,Typical,No,None,0,No,No,No,2.6,1.3,3,0.5,0.1,38.9,1.8,2.3
Zica-20220112-195994,2022-01-18T19:10:52Z,Typical,No,None,0,No,No,No,3.8,1.3,5,0.5,0.2,35.8,1.1,1.1
Zica-20220112-195994,2022-01-18T22:59:37Z,Typical,No,None,0,No,No,No,3.6,1.4,5,0.5,0.2,40.8,1.7,0.5
Zica-20220112-195994,2022-01-19T02:37:23Z,Typical,No,None,0,No,No,No,2.9,1.2,4,0.4,0.3,42.2,1.7,1.6
Zica-20220112-195994,2022-01-19T05:28:34Z,Typical,No,None,0,No,No,No,2.6,1.1,2,0.6,0.3,35.7,1.8,0.2
Zica-20220112-195994,2022-01-19T08:07:15Z,Typical,No,None,0,No,No,No,2.9,1.2,4,0.5,0.2,40,1.8,1.2
Zica-20220112-195994,2022-01-19T11:02:01Z,Typical,No,None,0,No,No,No,NA,1.2,NA,NA,NA,39.6,1.7,NA
Zica-20230518-233391,2023-05-18T21:15:43Z,Typical,No,None,0,No,No,No,2.4,1.1,3,0.4,0.2,37.3,1.6,1.7
Zica-20230518-233391,2023-05-18T23:37:42Z,Typical,No,None,0,No,No,No,2.4,1,3,0.4,0.2,34.9,1.6,0.9
Zica-20230518-233391,2023-05-19T02:00:05Z,Typical,No,None,0,No,Yes,No,2.1,1.1,3,0.3,0.2,33.9,1.6,1.4
Zica-20230518-233391,2023-05-19T04:04:22Z,Variant,No,None,0,No,Yes,No,1.7,0.9,2,0.3,0.2,36,1.6,1.1
Zica-20230518-233391,2023-05-19T05:44:09Z,Variant,No,None,0,No,Yes,No,1.7,0.9,1,0.3,0.2,32.3,1.6,1.4
Zica-20230518-233391,2023-05-19T07:26:29Z,Variant,No,None,0,No,No,No,2.2,0.9,4,0.3,0.2,35.7,1.4,0.9
Zica-20230518-233391,2023-05-19T09:38:13Z,Variant,No,None,0,No,No,No,1.5,0.8,1,0.2,0.2,31.2,1.2,0.7
Zica-20230518-233391,2023-05-19T11:09:41Z,Variant,No,None,0,No,No,No,7.4,1,12,0.9,0.4,38.2,1.1,1.2
Zica-20230518-233391,2023-05-19T18:34:43Z,Typical,No,None,0,No,No,No,2.5,0.9,3,0.5,0.2,18.9,1,0.2
Zica-20230518-233391,2023-05-19T21:04:02Z,Typical,No,None,0,No,No,No,3.4,1.2,4,0.6,0.2,45.8,1,1.1
Zica-20230518-233391,2023-05-20T00:26:24Z,Typical,No,None,0,No,Yes,No,3.5,1.1,5,0.5,0.2,43.9,1.3,1.2
Zica-20230518-233391,2023-05-20T03:58:23Z,Typical,No,None,0,No,Yes,No,2.3,1.2,3,0.4,0.2,45.8,1.3,1.3
Zica-20230518-233391,2023-05-20T06:14:06Z,Typical,No,None,0,No,Yes,No,1.9,1.2,2,0.4,0.2,39.3,1.1,0.3
Zica-20230518-233391,2023-05-20T08:08:16Z,Typical,No,None,0,No,No,No,2.7,1.1,3,0.4,0.2,40.6,1.2,1
Zica-20230518-233391,2023-05-20T10:50:28Z,Typical,No,None,0,No,No,No,3.8,1.1,6,0.5,0.2,35.1,1.1,0.1
Zica-20230518-233391,2023-05-20T14:40:17Z,Typical,No,None,0,No,No,No,2.9,1.5,3,0.5,0.2,49.7,1,0.6
Zica-20230518-233391,2023-05-20T17:36:56Z,Typical,No,None,0,No,No,No,2.3,1.4,2,0.4,0.1,41.5,0.9,1.2
Zica-20230518-233391,2023-05-20T19:57:04Z,Typical,No,None,0,No,No,No,3.7,1.2,5,0.5,0.2,44.1,1.1,1.2
Zica-20230518-233391,2023-05-20T23:37:26Z,Variant,No,None,0,No,Yes,No,7,1.5,12,0.7,0.5,42.5,1.5,2.4
Zica-20230518-233391,2023-05-21T06:36:06Z,Variant,No,None,0,No,No,No,1.6,1.1,1,0.2,0.1,28,1.8,3.4
Zica-20230518-233391,2023-05-21T08:11:45Z,Variant,No,None,0,No,No,No,1.7,1,1,0.2,0.2,38.1,1.1,3.6
Zica-20230518-233391,2023-05-21T09:52:08Z,Variant,No,None,0,No,No,No,2.3,1.1,3,0.2,0.3,31.7,1.3,3.4
Zica-20230518-233391,2023-05-21T12:09:40Z,Typical,No,None,0,No,No,No,3.8,1.1,6,0.5,0.2,39.5,1.2,0
Zica-20230518-233391,2023-05-21T15:54:56Z,Variant,No,None,0,No,No,No,6.1,1.1,10,0.7,0.3,33.7,1.1,2
Zica-20230518-233391,2023-05-21T21:58:11Z,Variant,No,None,0,No,No,No,1.7,1.1,2,0.3,0.1,29,1.7,0.7
Zica-20230518-233391,2023-05-21T23:37:24Z,Typical,No,None,0,No,No,No,3.4,1.1,4,0.6,0.3,35.8,1.6,2.1
Zica-20230518-233391,2023-05-22T02:58:40Z,Variant,No,None,0,No,No,No,2.8,0.7,6,0.5,0.4,23,1.8,0.6
Zica-20230518-233391,2023-05-22T05:44:22Z,Typical,No,None,0,No,No,No,2.5,1.3,3,0.3,0.2,46.1,1.8,1.4
Zica-20230518-233391,2023-05-22T08:12:52Z,Typical,No,None,0,No,No,No,5.4,1.2,8,0.6,0.3,33.3,1.8,1
Zica-20230518-233391,2023-05-22T13:39:03Z,Typical,No,None,0,No,No,No,3.1,1.1,5,0.4,0.2,32.4,1.7,1
Zica-20230518-233391,2023-05-22T16:45:29Z,Typical,No,None,0,No,No,No,3,1.1,4,0.5,0.2,31.6,1.7,1.6
Zica-20230518-233391,2023-05-22T19:45:07Z,Variant,No,None,0,No,No,No,5,1.3,8,0.6,0.3,36.5,1.8,3.1
Zica-20230518-233391,2023-05-23T00:43:40Z,Variant,No,None,0,No,No,No,1.7,1.2,2,0.3,0.1,37.1,1.1,2.6
Zica-20230518-233391,2023-05-23T02:24:22Z,Variant,No,None,0,No,Yes,No,1.5,0.9,3,0.2,0.1,26.7,1.1,2.5
Zica-20230518-233391,2023-05-23T03:52:29Z,Variant,No,None,0,No,No,No,1.9,0.9,2,0.3,0.2,32.6,1.3,0.5
Zica-20230518-233391,2023-05-23T05:46:35Z,Variant,No,None,0,No,No,No,1.4,0.9,2,0.2,0.1,32.9,1.2,2.6
Zica-20230518-233391,2023-05-23T07:11:12Z,Variant,No,None,0,No,Yes,No,1.9,1,3,0.3,0.1,31.3,1.1,0.4
Zica-20230518-233391,2023-05-23T09:05:11Z,Typical,No,None,0,No,No,No,2.5,1,4,0.4,0.2,20.6,1.1,1.8
Zica-20230518-233391,2023-05-23T11:35:49Z,Typical,No,None,0,No,No,No,4.3,1,8,0.6,0.2,28.8,1.3,1.4
Zica-20230518-233391,2023-05-23T15:51:54Z,Typical,No,None,0,No,No,No,2.6,1.1,4,0.4,0.1,38.2,1.1,0.8
Zica-20230518-233391,2023-05-23T18:25:50Z,Typical,No,None,0,No,No,No,3.7,1.4,6,0.4,0.2,56.3,1.1,1.1
Zica-20230518-233391,2023-05-23T22:08:45Z,Typical,No,None,0,No,No,No,2.9,1.2,4,0.5,0.2,26.6,1,1.9
Zica-20230518-233391,2023-05-24T01:02:36Z,Typical,No,104.4,112.2,No,Yes,No,2.3,1,3,0.4,0.2,28.2,0.9,1.2
Zica-20230518-233391,2023-05-24T03:22:02Z,Variant,Yes,120.9,126.7,No,Yes,No,1.6,1.1,1,0.5,0.1,4.7,0.9,2.3
Zica-20230518-233391,2023-05-24T04:57:39Z,Variant,Yes,120.7,129.4,No,Yes,No,1.7,1,2,0.3,0.1,25.8,1.1,1.4
Zica-20230518-233391,2023-05-24T06:42:08Z,Variant,No,None,0,No,Yes,No,1.3,0.9,0,NA,0.4,29.6,1,2.6
Zica-20230518-233391,2023-05-24T08:02:51Z,Variant,No,None,0,No,Yes,No,2.3,1.5,1,0.4,0.4,42,1.2,2.3
Zica-20230518-233391,2023-05-24T10:20:38Z,Variant,No,None,0,No,No,No,6.3,1,11,0.6,0.4,35.7,1.1,0.6
Zica-20230518-233391,2023-05-24T16:36:17Z,Variant,No,None,0,No,No,No,5.2,1,8,0.7,0.4,28.6,1,1.6
Zica-20230518-233391,2023-05-24T21:48:27Z,Typical,No,None,0,No,No,No,2.9,1.5,4,0.3,0.2,43.8,1,2.6
Zica-20230518-233391,2023-05-25T00:41:53Z,Typical,No,None,0,No,No,No,2.4,1.3,3,0.3,0.1,46.6,1.4,0.7
Zica-20230518-233391,2023-05-25T03:03:32Z,Variant,No,None,0,No,Yes,No,2.6,1.5,3,0.4,0.1,8,1.3,1.8
Zica-20230518-233391,2023-05-25T05:40:10Z,Variant,No,None,0,No,No,No,2.1,1.2,2,0.2,0.5,36.2,1.4,1.5
Zica-20230518-233391,2023-05-25T07:45:33Z,Variant,No,None,0,No,No,No,2.6,1.4,2,0.3,0.2,41,1.6,2.2
Zica-20230518-233391,2023-05-25T10:23:54Z,Variant,No,None,0,No,No,No,6.9,1.1,12,0.8,0.4,37,1.6,2.6
Zica-20230518-233391,2023-05-25T17:17:21Z,Variant,No,None,0,No,No,No,2.1,1.1,2,0.5,0.1,30.8,1.1,1
Zica-20230518-233391,2023-05-25T19:21:43Z,Variant,No,None,0,No,Yes,No,9.7,1.3,15,0.8,0.5,37.8,1.5,0.6
Zica-20230518-233391,2023-05-26T05:01:28Z,Variant,No,None,0,No,No,No,3,1,5,0.4,0.2,16,1.5,2.7
Zica-20230518-233391,2023-05-26T08:02:44Z,Variant,No,None,0,No,No,No,2.2,1.2,3,0.3,0.1,27.2,1.1,2.7
Zica-20230518-233391,2023-05-26T10:16:09Z,Variant,No,None,0,No,No,No,2.9,1.2,5,0.5,0.2,35.5,1.6,3.4
Zica-20230518-233391,2023-05-26T13:09:22Z,Typical,No,None,0,No,No,No,2.3,1.2,3,0.4,0.1,37.9,1.1,3
Zica-20230518-233391,2023-05-26T15:30:14Z,Typical,No,None,0,No,No,No,2.5,1.2,4,0.4,0.1,45.4,1.2,1.7
Zica-20230518-233391,2023-05-26T18:02:56Z,Typical,No,None,0,No,No,No,2.4,1.4,3,0.3,0.1,38,1.6,2.4
Zica-20230518-233391,2023-05-26T20:25:59Z,Typical,No,None,0,No,No,No,2.7,1.2,4,0.5,0.2,41.6,1.5,1.8
Zica-20230518-233391,2023-05-26T23:09:59Z,Variant,No,None,0,No,No,No,1.7,1.2,2,0.3,0.1,37.1,1.6,2.4
Zica-20230518-233391,2023-05-27T00:51:18Z,Typical,No,None,0,No,No,No,2.7,1.2,4,0.5,0.2,37.2,1.7,1.3
Zica-20230518-233391,2023-05-27T03:34:56Z,Variant,No,None,0,No,No,No,2.1,1.2,2,0.3,0.1,40.8,1.5,2.9
Zica-20230518-233391,2023-05-27T05:39:21Z,Variant,No,None,0,No,No,No,1.8,1,3,0.3,0.1,35.7,1.3,2.4
Zica-20230518-233391,2023-05-27T07:24:27Z,Variant,No,None,0,No,No,No,1.7,0.9,3,0.3,0.1,28.6,1.2,1.3
Zica-20230518-233391,2023-05-27T09:07:32Z,Variant,No,None,0,No,No,No,2.2,1.1,3,0.4,0.2,38.2,1.1,1.1
Zica-20230518-233391,2023-05-27T11:21:41Z,Variant,No,None,0,No,No,No,8,1.1,13,0.6,0.8,35.4,1,1.7
Zica-20230518-233391,2023-05-27T19:21:33Z,Variant,No,None,0,No,No,No,5.2,1.2,7,0.7,0.3,39.3,1.1,2.2
Zica-20230518-233391,2023-05-28T00:32:59Z,Variant,No,None,0,No,No,No,1.8,1.1,2,0.3,0.2,34.3,1.1,1.1
Zica-20230518-233391,2023-05-28T02:18:33Z,Variant,No,None,0,No,Yes,No,2.1,1.1,2,0.3,0.7,39.2,1.2,1.9
Zica-20230518-233391,2023-05-28T04:26:03Z,Variant,No,None,0,No,No,No,2.1,1.1,1,0.2,0.6,40.9,1.3,3.2
Zica-20230518-233391,2023-05-28T06:30:56Z,Typical,No,None,0,No,No,No,2.6,1.3,0,NA,0.3,39.8,1.6,1.9
Zica-20230518-233391,2023-05-28T09:06:35Z,Typical,No,None,0,No,Yes,No,2.4,1.1,1,0.3,0.3,35.7,1.6,1.8
Zica-20230518-233391,2023-05-28T11:29:08Z,Typical,No,None,0,No,No,No,3.2,1.3,6,0.4,0.2,39,1.6,0.6
Zica-20230518-233391,2023-05-28T14:42:46Z,Typical,No,None,0,No,No,No,3.5,1.4,5,0.5,0.2,36.5,1.6,1.2
Zica-20230518-233391,2023-05-28T18:12:41Z,Typical,No,None,0,No,Yes,No,3.9,1.5,5,0.6,0.2,39.5,1.6,0.6
Zica-20230518-233391,2023-05-28T22:06:39Z,Variant,No,None,0,No,Yes,No,6.2,1.3,10,0.6,0.3,34.9,1.6,1.1
Zica-20230518-233391,2023-05-29T04:19:43Z,Variant,No,None,0,No,No,No,1.6,1.3,1,0.3,0.1,45.2,1.5,3.5
Zica-20230518-233391,2023-05-29T05:57:31Z,Typical,No,None,0,No,No,No,3.2,1.1,5,0.6,0.2,25.1,1.6,1.1
Zica-20230518-233391,2023-05-29T09:11:45Z,Typical,No,None,0,No,No,No,NA,1.5,NA,NA,NA,35,1.8,NA
Zica-20230519-232950,2023-05-20T00:37:59Z,Typical,No,None,0,No,No,No,1.9,1.1,2,0.3,0.1,40.6,1.6,0.5
Zica-20230519-232950,2023-05-20T02:30:28Z,Typical,No,None,0,No,Yes,No,1.9,1,3,0.3,0.2,39.5,1.6,1
Zica-20230519-232950,2023-05-20T04:25:51Z,Typical,No,None,0,No,Yes,No,2.5,0.9,4,0.4,0.3,37,1.6,1.6
Zica-20230519-232950,2023-05-20T06:52:53Z,Typical,No,None,0,No,Yes,No,2.7,1,4,0.4,0.2,46.4,1.6,0.4
Zica-20230519-232950,2023-05-20T09:33:59Z,Variant,No,None,0,No,No,No,6.2,1.2,12,0.6,0.4,44.1,1.6,1.6
Zica-20230519-232950,2023-05-20T15:48:54Z,Typical,No,None,0,No,No,No,2.9,1.6,3,0.5,0.1,42.3,1.6,1.2
Zica-20230519-232950,2023-05-20T18:42:08Z,Typical,No,None,0,No,No,No,2.4,1.3,3,0.4,0.1,35.2,1.7,1.9
Zica-20230519-232950,2023-05-20T21:06:59Z,Typical,No,None,0,No,No,No,3.1,1.4,5,0.4,0.2,36.6,1.7,2
Zica-20230519-232950,2023-05-21T00:13:34Z,Typical,No,None,0,No,Yes,No,4.7,1.4,8,0.5,0.2,30.2,1.7,1.5
Zica-20230519-232950,2023-05-21T04:53:13Z,Typical,No,None,0,No,No,No,2.2,1.3,2,0.5,0.1,34.6,1.5,2.1
Zica-20230519-232950,2023-05-21T07:07:32Z,Typical,No,None,0,No,No,No,2.3,1.2,3,0.3,0.2,26.6,1.1,1.2
Zica-20230519-232950,2023-05-21T09:25:42Z,Variant,No,None,0,No,Yes,No,2.1,1,3,0.3,0.2,22.6,1.1,2.7
Zica-20230519-232950,2023-05-21T11:32:39Z,Typical,No,None,0,No,No,No,3.1,1.2,5,0.4,0.2,22.5,1.1,1.5
Zica-20230519-232950,2023-05-21T14:39:09Z,Typical,No,None,0,No,No,No,2.7,1.1,4,0.4,0.2,30.4,1.1,1.1
Zica-20230519-232950,2023-05-21T17:19:05Z,Typical,No,None,0,No,No,No,4.5,1.8,7,0.4,0.3,61.9,1.1,0.5
