Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20191012-145101,2019-10-13T12:07:33Z,Typical,No,None,0,No,No,No,3.5,1.2,6,0.4,0.2,37.1,1.5,0.2
Zica-20191012-145101,2019-10-13T15:36:56Z,Typical,No,None,0,No,No,No,2.3,1.1,3,0.4,0.1,33,1.5,0.8
Zica-20191012-145101,2019-10-13T17:57:13Z,Typical,No,95.1,102.6,No,No,No,2.6,1.1,4,0.4,0.2,32.6,1.5,1.4
Zica-20191012-145101,2019-10-13T20:36:10Z,Typical,Yes,147.9,145.1,No,No,No,2.3,1,4,0.3,0.2,28.2,1.4,0.9
Zica-20191012-145101,2019-10-13T22:53:17Z,Variant,Yes,136,138.8,No,No,No,6.3,1.1,11,0.6,0.4,29.4,1.5,1.3
Zica-20191012-145101,2019-10-14T05:12:39Z,Variant,No,None,0,No,Yes,No,2.7,1.4,3,0.3,0.2,35.2,1.5,2.2
Zica-20191012-145101,2019-10-14T07:55:46Z,Typical,No,None,0,No,Yes,No,2.2,1.2,3,0.3,0.1,43.7,1.5,1
Zica-20191012-145101,2019-10-14T10:08:51Z,Typical,No,None,0,No,Yes,No,2.7,1,2,0.4,0.3,28.8,1.5,2.4
Zica-20191012-145101,2019-10-14T12:51:55Z,Typical,No,None,0,No,Yes,No,3.3,1,6,0.4,0.2,26,1.3,1.3
Zica-20191012-145101,2019-10-14T16:11:24Z,Typical,No,None,0,No,Yes,No,2.1,1,3,0.4,0.1,27.2,1.2,1.4
Zica-20191012-145101,2019-10-14T18:14:56Z,Typical,No,None,0,No,No,No,2.5,1.2,4,0.3,0.2,35.4,1.5,0.5
Zica-20191012-145101,2019-10-14T20:46:16Z,Typical,No,None,0,Yes,Yes,No,3.4,1.1,6,0.4,0.2,30.4,1.4,0.3
Zica-20191012-145101,2019-10-15T00:13:00Z,Variant,No,None,0,Yes,Yes,No,4.1,0.7,3,0.3,1.6,3.5,0.8,4.1
Zica-20191012-145101,2019-10-15T04:19:01Z,Typical,No,None,0,No,Yes,No,3,1.3,3,0.4,0.3,34.3,1.3,1.4
Zica-20191012-145101,2019-10-15T07:16:16Z,Variant,No,None,0,No,No,No,3.4,1.2,1,0.3,0.5,30.3,1.4,2.9
